Index	Token	Language
1	The	Eng
2	list	Eng
3	is	Eng
4	rather	Eng
5	voluptuously	Eng
6	extensive	Eng
7	,	Punct
8	de	Spn
9	la	Spn
10	gente	Spn
11	que	Spn
12	me	Spn
13	ha	Spn
14	brindado	Spn
15	su	Spn
16	apoyo	Spn
17	,	Punct
18	who	Eng
19	have	Eng
20	told	Eng
21	me	Eng
22	,	Punct
23	over	Eng
24	the	Eng
25	past	Eng
26	three	Eng
27	years	Eng
28	or	Eng
29	so	Eng
30	:	Punct
31	go	Eng
32	for	Eng
33	it	Eng
34	,	Punct
35	estaes	SpnNoSpace
36	tu	Spn
37	voz	Spn
38	.	Punct
39	For	Eng
40	their	Eng
41	incisive	Eng
42	critiques	Eng
43	,	Punct
44	their	Eng
45	questions	Eng
46	and	Eng
47	their	Eng
48	encouragement	Eng
49	,	Punct
50	I	Eng
51	am	Eng
52	deeply	Eng
53	grateful	Eng
54	to	Eng
55	the	Eng
56	following	Eng
57	friends	Eng
58	and	Eng
59	colleagues	Eng
60	:	Punct
61	Jack	NamedEnt
62	Abecassis	NamedEnt
63	,	Punct
64	Frances	NamedEnt
65	R.	NamedEnt
66	Aparicio	NamedEnt
67	,	Punct
68	Samuel	NamedEnt
69	G.	NamedEnt
70	Armistead	NamedEnt
71	,	Punct
72	Alicia	NamedEnt
73	Arrizón	NamedEnt
74	,	Punct
75	Diana	NamedEnt
76	Bellessi	NamedEnt
77	,	Punct
78	Emilie	NamedEnt
79	Bergmann	NamedEnt
80	,	Punct
81	Ksenija	NamedEnt
82	Bilbija	NamedEnt
83	,	Punct
84	Ivonne	NamedEnt
85	Bordelois	NamedEnt
86	,	Punct
87	Elaine	NamedEnt
88	S.	NamedEnt
89	Brooks	NamedEnt
90	,	Punct
91	Luis	NamedEnt
92	Cárcamo-Huechante	NamedEnt
93	,	Punct
94	Debra	NamedEnt
95	A.	NamedEnt
96	Castillo	NamedEnt
97	,	Punct
98	Hector	NamedEnt
99	Mario	NamedEnt
100	Cavallari	NamedEnt
101	,	Punct
102	Toni	NamedEnt
103	Clark	NamedEnt
104	,	Punct
105	Mary	NamedEnt
106	Coffey	NamedEnt
107	,	Punct
108	Grace	NamedEnt
109	Dávila-López	NamedEnt
110	,	Punct
111	María	NamedEnt
112	Donapetry	NamedEnt
113	,	Punct
114	Robert	NamedEnt
115	R.	NamedEnt
116	Ellis	NamedEnt
117	,	Punct
118	Adrianne	NamedEnt
119	Estill	NamedEnt
120	,	Punct
121	David	NamedEnt
122	William	NamedEnt
123	Foster	NamedEnt
124	,	Punct
125	Juan	NamedEnt
126	Carlos	NamedEnt
127	Galeano	NamedEnt
128	,	Punct
129	Alicia	NamedEnt
130	Garza	NamedEnt
131	,	Punct
132	Alicia	NamedEnt
133	Gaspar	NamedEnt
134	de	NamedEnt
135	Alba	NamedEnt
136	,	Punct
137	Rosemary	NamedEnt
138	Geisdorfer	NamedEnt
139	Feal	NamedEnt
140	,	Punct
141	Joshua	NamedEnt
142	and	Eng
143	Peggy	NamedEnt
144	Golden	NamedEnt
145	,	Punct
146	Martha	NamedEnt
147	Goldin	NamedEnt
148	,	Punct
149	Deena	NamedEnt
150	J.	NamedEnt
151	González	NamedEnt
152	,	Punct
153	Verónica	NamedEnt
154	Grossi	NamedEnt
155	,	Punct
156	Lucía	NamedEnt
157	GuerraCunningham	NamedEnt
158	,	Punct
159	Andrea	NamedEnt
160	Gutiérrez	NamedEnt
161	,	Punct
162	Elizabeth	NamedEnt
163	R.	NamedEnt
164	Horan	NamedEnt
165	,	Punct
166	Lillian	NamedEnt
167	Kaiser	NamedEnt
168	,	Punct
169	Laura	NamedEnt
170	Klein	NamedEnt
171	,	Punct
172	Alicia	NamedEnt
173	Kozameh	NamedEnt
174	,	Punct
175	Josh	NamedEnt
