Index	Token	Language
1	Oh	Eng
2	Oh	Eng
3	Oh	Eng
4	.	Eng
5	I	Eng
6	am	Eng
7	not	Eng
8	gonna	Eng
9	take	Eng
10	her	Eng
11	outside	Eng
12	.	Eng
13	because	Eng
14	anything	Eng
15	could	Eng
16	happen	Eng
17	if	Eng
18	I	Eng
19	take	Eng
20	her	Eng
21	outside	Eng
22	.	Eng
23	I	Eng
24	am	Eng
25	afraid	Eng
26	that	Eng
27	something	Eng
28	will	Eng
29	,	Eng
30	se	Span
31	va	Span
32	a	Span
33	caer	Span
34	o	Span
35	ninguna	Span
36	cosa	Span
37	.	Span
38	Lo	Span
39	ponemos	Span
40	ah�	Span
41	<UNK>	Span
42	.	Span
43	No	Span
44	podemos	Span
45	hablar	Span
46	de	Span
47	Ri	Span
48	.	Span
49	Podemos	Span
50	hablar	Span
51	de	Span
52	Rita	Span
53	.	Span
54	Umm	Span
55	.	Span
56	Cuando	Span
57	ya	Span
58	terminen	Span
59	olv�dense	Span
60	que	Span
61	est�	Span
62	la	Span
63	grabadora	Span
64	nom�s	Span
65	ah�	Span
66	que	Span
67	se	Span
68	quede	Span
69	y	Span
70	la	Span
71	recojo	Span
72	yo	Span
73	luego	Span
74	.	Span
75	Y	Span
76	aqu�	Span
77	la	Span
78	pongo	Span
79	en	Span
80	tu	Span
81	caja	Span
82	.	Span
83	OK	Eng
84	.	Eng
85	Do	Eng
86	you	Eng
87	want	Eng
88	some	Eng
89	tomato	Eng
90	chaff	Eng
91	<UNK>	Eng
92	?	Eng
93	No	Eng
94	,	Eng
95	as�	Span
96	est�n	Span
97	bien	Span
98	.	Span
99	Whatever	Eng
100	you	Eng
101	wanna	Eng
102	do	Eng
103	.	Eng
104	So	Eng
105	,	Eng
106	she	Eng
107	is	Eng
108	taking	Eng
109	care	Eng
110	of	Eng
111	baby	Eng
112	?	Eng
113	OK	Eng
114	.	Eng
115	Well	Eng
116	,	Eng
117	in	Eng
118	that	Eng
119	case	Eng
120	.	Eng
121	Le	Span
122	digo	Span
123	,	Span
124	take	Eng
125	her	Eng
126	outside	Eng
127	or	Eng
128	play	Eng
129	or	Eng
130	something	Eng
131	.	Eng
132	No	Span
133	,	Span
134	dice	Span
135	because	Eng
136	I	Eng
137	am	Eng
138	afraid	Eng
139	something	Eng
140	is	Eng
141	gonna	Eng
142	happen	Eng
143	.	Eng
144	Well	Eng
145	if	Eng
146	the	Eng
147	kid	Eng
148	can	Eng
149	baby-sit	Eng
150	himself	Eng
151	by	Eng
152	watching	Eng
153	TV	Eng
154	,	Eng
155	then	Eng
156	all	Eng
157	she	Eng
158	has	Eng
159	to	Eng
160	do	Eng
161	is	Eng
162	make	Eng
163	sure	Eng
164	he	Eng
165	does	Eng
166	not	Eng
167	leave	Eng
168	the	Eng
169	house	Eng
170	.	Eng
171	It	Eng
172	is	Eng
173	a	Eng
174	little	Eng
175	girl	Eng
176	.	Eng
177	Oh	Eng
178	,	Eng
179	a	Eng
180	little	Eng
181	girl	Eng
182	.	Eng
183	Mmmhmm	Eng
184	.	Eng
185	I	Eng
186	just	Eng
187	,	Eng
188	it	Eng
189	is	Eng
190	easy	Eng
191	.	Eng
192	y	Span
193	dijo	Span
194	que	Span
195	,	Span
196	digo	Span
197	,	Span
198	when	Eng
199	she	Eng
200	is	Eng
201	done	Eng
202	,	Eng
203	digo	Span
204	,	Span
205	if	Eng
206	you	Eng
207	wanna	Eng
208	watch	Eng
209	TV	Eng
210	well	Eng
211	then	Eng
212	just	Eng
213	,	Eng
214	uh	Eng
215	,	Eng
216	you	Eng
217	know	Eng
218	just	Eng
219	go	Eng
220	there	Eng
221	and	Eng
222	watch	Eng
223	TV	Eng
224	,	Eng
225	and	Eng
226	then	Eng
227	she	Eng
228	will	Eng
229	play	Eng
230	with	Eng
231	her	Eng
232	toys	Eng
233	.	Eng
234	Well	Eng
235	,	Eng
236	does	Eng
237	she	Eng
238	,	Eng
239	uh	Eng
240	,	Eng
241	do	Eng
242	,	Eng
243	does	Eng
244	she	Eng
245	leave	Eng
246	her	Eng
247	food	Eng
248	there	Eng
249	also	Eng
250	?	Eng
251	Mmm-hmmm	Eng
252	She	Eng
253	left	Eng
254	her	Eng
255	her	Eng
256	food	Eng
257	there	Eng
258	.	Eng
259	And	Eng
260	change	Eng
261	her	Eng
262	diaper	Eng
263	though	Eng
264	.	Eng
265	She	Eng
266	is	Eng
267	two	Eng
268	,	Eng
269	I	Eng
270	do	Eng
271	not	Eng
272	think	Eng
273	she	Eng
274	is	Eng
275	.	Eng
276	So	Eng
277	she	Eng
278	kno-	Eng
279	<UNK>	Eng
280	Mmm-hmm	Eng
281	.	Eng
282	S�	Span
283	,	Span
284	pos	Span
285	,	Span
286	es	Span
287	lo	Span
288	que	Span
289	le	Span
290	digo	Span
291	que	Span
292	quiere	Span
293	entrar	Span
294	a	Span
295	las	Span
296	cinco	Span
297	,	Span
298	and	Eng
299	I	Eng
300	need	Eng
301	to	Eng
302	go	Eng
303	home	Eng
304	and	Eng
305	and	Eng
306	change	Eng
307	you	Eng
308	know	Eng
309	.	Eng
310	No	Span
311	,	Span
312	dijo	Span
313	.	Span
314	I	Eng
315	will	Eng
316	be	Eng
317	back	Eng
318	by	Eng
319	two	Enga
320	.	Eng
321	Oh	Eng
322	,	Eng
323	okay	Eng
324	.	Eng
325	So	Eng
326	who	Eng
327	is	Eng
328	gonna	Eng
329	take	Eng
330	of	Eng
331	her	Eng
332	until	Eng
333	two	Eng
334	o'clock	Eng
335	then	Eng
336	?	Eng
